2.0000,134.7376,73.0457,14.7319,0.0066,15.0420,0.0243,14.9139,0.0254
4.0000,633.0163,176.3527,13.0943,0.0016,13.4448,0.0051,13.3498,0.0060
5.0000,598.0595,182.2326,15.1095,0.0115,15.4621,0.0349,15.3673,0.0402
7.0000,116.8809,237.0465,16.3179,0.0320,16.6382,0.0938,16.5186,0.1110
9.0000,277.1646,279.3514,12.9526,0.0011,13.3083,0.0045,13.2194,0.0059
10.0000,753.2414,297.7679,15.8501,0.0313,16.1283,0.0686,15.9465,0.0596
11.0000,148.1153,300.9483,14.4757,0.0065,14.8007,0.0191,14.6857,0.0215
12.0000,139.2129,326.4762,13.4770,0.0023,13.8269,0.0079,13.7359,0.0091
13.0000,294.0869,333.4475,13.6086,0.0027,13.9371,0.0083,13.8221,0.0096
15.0000,671.5117,374.1220,14.2250,0.0034,14.5574,0.0124,14.4478,0.0158
16.0000,167.3328,376.1453,13.3522,0.0022,13.6999,0.0068,13.6092,0.0081
17.0000,599.9596,377.8135,16.0325,0.0335,16.3030,0.0711,16.1045,0.0675
19.0000,753.2709,395.8218,15.7687,0.0146,16.0678,0.0513,15.8992,0.0549
20.0000,202.2554,402.3260,15.6814,0.0248,15.9428,0.0522,15.7334,0.0476
24.0000,638.2244,483.8480,14.3485,0.0052,14.6666,0.0157,14.5370,0.0188
25.0000,307.6334,502.3491,14.4125,0.0041,14.7476,0.0146,14.6325,0.0187
27.0000,467.4349,508.6001,13.3481,0.0013,13.7044,0.0055,13.6135,0.0075
28.0000,491.0394,514.0127,15.3511,0.0132,15.6325,0.0338,15.4727,0.0391
29.0000,332.3987,544.3355,15.1872,0.0136,15.4967,0.0331,15.3582,0.0377
30.0000,340.3127,579.8659,15.2596,0.0182,15.5587,0.0364,15.4020,0.0401
31.0000,74.0828,594.4405,13.8681,0.0028,14.2254,0.0095,14.1414,0.0127
32.0000,165.4784,602.2055,15.0546,0.0084,15.3389,0.0224,15.1625,0.0279
33.0000,323.1591,617.9753,13.1535,0.0018,13.5064,0.0051,13.4154,0.0067
35.0000,147.0272,701.6620,14.4914,0.0060,14.8139,0.0174,14.6850,0.0213
36.0000,124.5790,706.9174,13.2003,0.0027,13.5561,0.0068,13.4649,0.0079
